latitude,index
-32.9371426,442
-32.9372837,443
-32.9374091,444
-32.9376599,445
-32.937801,446
-32.9379421,447
-32.9384036,448
-32.9386006,449
-32.9386946,450
-32.9389612,451
-32.9390082,452
-32.939165,453
-32.9392747,454
-32.9393061,455
-32.9393374,456
-32.9395099,457
-32.9395922,458
-32.9399645,459
-32.9402467,460
-32.9403251,461
-32.9403407,462
-32.9405826,463
-32.9409678,464
-32.9410886,465
-32.9413911,466
-32.9415479,467
-32.9416419,468
-32.9419885,469
-32.9420025,470
-32.9422063,471
-32.942316,472
-32.9425198,473
-32.9425825,474
-32.9431625,475
-32.9436626,476
-32.9443462,477
-32.9446675,478
-32.9453259,479
-32.945353,480
-32.945608,481
-32.9460929,482
-32.9467994,483
-32.9475989,484
-32.9480691,485
-32.9485864,486
-32.9493388,487
-32.9496837,488
-32.9497001,489
-32.9498296,490
-32.9514228,491
-32.9539819,492
-32.9547898,493
-32.9554113,494
-32.9574113,495
-32.9577633,496
-32.9599818,497
-32.9601192,498
-32.9611318,499
-32.96426,500
-32.9651832,501
-32.9664479,502
-32.9680062,503
-32.9688295,504
-32.9689407,505
-32.970939,506
-32.9720288,507
-32.9720551,508
-32.973742,509
-32.9747442,510
-32.9754501,511
-32.9758875,512
-32.9778935,513
-32.9785529,514
-32.9787252,515
-32.9789298,516
-32.9798065,517
-32.9803955,518
-32.9807289,519
-32.9813891,520
-32.9821128,521
-32.9822197,522
-32.9829274,523
-32.9834294,524
-32.9838551,525
-32.9844529,526
-32.9854788,527
-32.9866853,528
-32.9878693,529
-32.988615,530
-32.9890042,531
-32.9903173,532
-32.9909001,533
-32.9922686,534
-32.9925684,535
-32.9935323,536
-32.9963928,537
-32.9972141,538
-32.9983335,539
-32.9986084,540
-32.9989691,541
-33.0004781,542
-33.0009332,543
-33.001684,544
-33.0018983,545
-33.0028514,546
-33.0056037,547
-33.0058617,548
-33.0058937,549
-33.006786,550
-33.0079609,551
-33.0080313,552
-33.0089007,553
-33.0095179,554
-33.0096683,555
-33.0106395,556
-33.011595,557
-33.0126132,558
-33.0127862,559
-33.0131615,560
-33.0132866,561
-33.0140543,562
-33.0148396,563
-33.0152669,564
-33.0159809,565
-33.0170136,566
-33.0181053,567
-33.019308,568
-33.0193329,569
-33.0221365,570
-33.0224793,571
-33.0227735,572
-33.0245096,573
-33.0246581,574
-33.0275792,575
-33.0278343,576
-33.0287311,577
-33.0320594,578
-33.0324127,579
-33.0324427,580
-33.0333527,581
-33.0336519,582
-33.0338321,583
-33.0340227,584
-33.0350414,585
-33.0359413,586
-33.0363613,587
-33.0374363,588
-33.0375575,589
-33.0377473,590
-33.0383769,591
-33.0384079,592
-33.0388616,593
-33.0395562,594
-33.0401962,595
-33.0403847,596
-33.0415093,597
-33.0419316,598
-33.042504,599
-33.0425453,600
-33.0438981,601
-33.0439376,602
-33.0448128,603
-33.0449943,604
-33.0465456,605
-33.0466661,606
-33.0473066,607
-33.0474814,608
-33.0484665,609
-33.0485602,610
-33.0494105,611
-33.0505026,612
-33.0506077,613
-33.050768,614
-33.0522693,615
-33.0532507,616
-33.0536738,617
-33.0554911,618
-33.0555153,619
-33.055762,620
-33.0568352,621
-33.0575491,622
-33.0586434,623
-33.0592484,624
-33.05933,625
-33.0597072,626
-33.0598122,627
-33.0608641,628
-33.061038,629
-33.061698,630
-33.0626842,631
-33.0636905,632
-33.0639004,633
-33.0639596,634
-33.064274,635
-33.065239,636
-33.0660643,637
-33.0663577,638
-33.0667088,639
-33.0671477,640
-33.0674591,641
-33.0682056,642
-33.0691212,643
-33.0701028,644
-33.0701359,645
-33.070317,646
-33.0704913,647
-33.0710627,648
-33.0730044,649
-33.0737694,650
-33.0750781,651
-33.0753595,652
-33.0761464,653
-33.0779906,654
-33.0784463,655
-33.0802771,656
-33.0802918,657
-33.0808536,658
-33.0824032,659
-33.0825625,660
-33.0835182,661
-33.0835691,662
-33.0841078,663
-33.0862342,664
-33.0870077,665
-33.0891932,666
-33.0898996,667
-33.0907773,668
-33.0915497,669
-33.0924584,670
-33.0928935,671
-33.0930498,672
-33.0955871,673
-33.0975608,674
-33.0978454,675
-33.0979171,676
-33.0993291,677
-33.0993395,678
-33.1008345,679
-33.101921,680
-33.1031047,681
-33.1040117,682
-33.1044871,683
-33.1055933,684
-33.1061737,685
-33.106509,686
-33.1074992,687
-33.1095862,688
-33.1110092,689
-33.1112127,690
-33.1118841,691
-33.1125605,692
-33.1146851,693
-33.1154185,694
-33.1164661,695
-33.1179851,696
-33.1181469,697
-33.1183995,698
-33.1185031,699
-33.1195044,700
-33.1203571,701
-33.1211407,702
-33.121253,703
-33.1217493,704
-33.1219652,705
-33.1222294,706
-33.12292,707
-33.1245506,708
-33.1248268,709
-33.1260675,710
-33.126339,711
-33.1266365,712
-33.1276361,713
-33.1278766,714
-33.130053,715
-33.1307698,716
-33.1321409,717
-33.1322323,718
-33.1331365,719
-33.1340466,720
-33.1343296,721
-33.1351522,722
-33.1364014,723
-33.1370453,724
-33.1382538,725
-33.1390247,726
-33.1392567,727
-33.1399852,728
-33.1408843,729
-33.1414654,730
-33.1423841,731
-33.1423971,732
-33.1431696,733
-33.1437788,734
-33.1447978,735
-33.1452897,736
-33.145653,737
-33.1463069,738
-33.1464633,739
-33.1465217,740
-33.1474163,741
-33.147999,742
-33.1493138,743
-33.1505346,744
-33.151089,745
-33.1526443,746
-33.1526502,747
-33.1532325,748
-33.1537584,749
-33.1548167,750
-33.1548789,751
-33.1572005,752
-33.15726,753
-33.1579005,754
-33.1583137,755
-33.1584623,756
-33.1586557,757
-33.1588563,758
-33.159172,759
-33.1599631,760
-33.1602363,761
-33.1613637,762
-33.1620441,763
-33.1627078,764
-33.1627808,765
-33.1637418,766
-33.1638872,767
-33.1645743,768
-33.1653952,769
-33.1654029,770
-33.1670769,771
-33.1675532,772
-33.1676761,773
-33.1683947,774
-33.1687858,775
-33.1691703,776
-33.1693992,777
-33.1699449,778
-33.1705467,779
-33.1713927,780
-33.171893,781
-33.1721928,782
-33.1728095,783
-33.1734616,784
-33.1740258,785
-33.1747867,786
-33.176412,787
-33.1764405,788
-33.1769764,789
-33.1773297,790
-33.1784849,791
-33.1789387,792
-33.1797011,793
-33.1800494,794
-33.1803032,795
-33.1803312,796
-33.1807487,797
-33.1813358,798
-33.1818392,799
-33.1825307,800
-33.1834291,801
-33.1836278,802
-33.1841205,803
-33.1856418,804
-33.1858803,805
-33.1864844,806
-33.1865215,807
-33.18823,808
-33.1889996,809
-33.1890378,810
-33.1897772,811
-33.1901039,812
-33.1905106,813
-33.1909086,814
-33.19117,815
-33.1916829,816
-33.192152,817
-33.1921984,818
-33.1926387,819
-33.1926539,820
-33.1935271,821
-33.1937766,822
-33.1942693,823
-33.1946905,824
-33.1950983,825
-33.1952131,826
-33.1954533,827
-33.1957387,828
-33.195988,829
-33.1965816,830
-33.1969136,831
-33.1975792,832
-33.1976234,833
-33.1979046,834
-33.1980269,835
-33.1981154,836
-33.1985875,837
-33.1993275,838
-33.1994488,839
-33.1997503,840
-33.1999964,841
-33.2008752,842
-33.2009894,843
-33.2012221,844
-33.2012905,845
-33.2013964,846
-33.2018196,847
-33.2020557,848
-33.2023077,849
-33.2024809,850
-33.2026686,851
-33.2027316,852
-33.2027859,853
-33.2030137,854
-33.2033979,855
-33.2037392,856
-33.2038041,857
-33.2039535,858
